,coconut_id,SMILES,molecular_formula,molecular_weight,citationDOI,name,alogp,topoPSA,affinity
324,CNP0244060,O=C1C=C(OC)C(=O)C=2C(O)=CC=C(O)C12,C11H8O5,220.17864553312128,[],"5,8-dihydroxy-2-methoxy-1,4-dihydronaphthalene-1,4-dione",-0.6724000000000006,83.83000000000001,19.864773
188,CNP0361748,O=C1OC=2C=C(OC(=O)C(NC(=O)OCC=3C=CC=CC3)C(C)C)C=CC2C(=C1)C,C23H23NO6,409.4326957365695,[],4-methyl-2-oxo-2H-chromen-7-yl 2-{[(benzyloxy)carbonyl]amino}-3-methylbutanoate,3.3101,90.93,19.685032
75,CNP0136203,O=C(C=CCCC1=CC(OC2(CNC)CCC(CCOCNCC(O)C)C2)=C(O)C(=C1)NC(=N)NC)C3(CC4=CC=C(O)C(OC)=C4)CCCC3,C39H59N5O7,709.9165549786192,[],N-[2-hydroxy-5-(5-{1-[(4-hydroxy-3-methoxyphenyl)methyl]cyclopentyl}-5-oxopent-3-en-1-yl)-3-{[3-(2-{[(2-hydroxypropyl)amino]methoxy}ethyl)-1-[(methylamino)methyl]cyclopentyl]oxy}phenyl]-N'-methylguanidine,2.3701,177.42,19.478798
280,CNP0426063,O=CC12C(=CC(=O)CC1)CCC3C2CCC4(C)C(C5=COC(=O)C=C5)CCC34O,C24H28O5,396.477027267881,"[Iizuka,Chem.Pharm.Bull.,49,(2001),282]",Scilliglaucosidone,2.3248,80.67,19.427238
486,CNP0356646,O=C(OC(C)(C)C)NC(C(=O)OC=1C=CC2=C(OC(=O)C(=C2C)CC=3C=CC=CC3)C1)CC(=O)OCC=4C=CC=CC4,C33H33NO8,571.6182720978461,[],1-benzyl 3-benzyl-4-methyl-2-oxo-2H-chromen-7-yl 3-{[(tert-butoxy)carbonyl]amino}butanedioate,4.473299999999998,117.23,19.364742
116,CNP0460909,O=C1OC(C=2C=C3C(=CC12)C(=O)C=4OC=C5C4C3(C)CCC5O)C,C19H16O5,324.3280587380316,[],,0.6165999999999999,72.83000000000001,19.358948
107,CNP0151756,O=C(OC)C1N(CC2=C(N=CN2CC3=CC=C(Cl)C=C3)C1)S(=O)(=O)CC=4C=CC=CC4,C22H22ClN3O4S,459.9476382161108,[],"methyl 3-[(4-chlorophenyl)methyl]-5-phenylmethanesulfonyl-3H,4H,5H,6H,7H-imidazo[4,5-c]pyridine-6-carboxylate",0.934500000000002,87.66,19.34228
429,CNP0078083,O=C(OCC1(O)CCC(=O)C(OC)C1(O)C2(OC2CC=C(C)C)C)C(O)CC34OC(C=CC=C(C)C)(C)C(C(=C)CC3)C4,C34H50O9,602.7567025302059,"[NA, 10.1021/acs.orglett.7b01671]",Pseudallicin A,3.1478999999999995,135.05,19.300283
211,CNP0014425,O=C(NC1=CC=C(F)C=C1F)N2CC(F)C(OCC3=NC=4C=CC=CC4O3)C2,C19H16F3N3O3,391.3445681640008,[],"3-[(1,3-benzoxazol-2-yl)methoxy]-N-(2,4-difluorophenyl)-4-fluoropyrrolidine-1-carboxamide",0.8813999999999997,63.16000000000001,19.273432
271,CNP0063632,O=C1C=CC(C=2C=CC=CC2)=C3N1CC4CN(CC5=CC=C(F)C=C5)CC3C4,C24H23FN2O,374.4515134225465,[],"11-[(4-fluorophenyl)methyl]-3-phenyl-7,11-diazatricyclo[7.3.1.0²,⁷]trideca-2,4-dien-6-one",2.2377999999999987,23.550000000000004,19.227345
257,CNP0127230,O=C1C=C(OC2=CC(O)=CC(OC3OC(CO)C(O)C(O)C3O)=C12)C=4C=C(O)C(O)=CC4OC5=CC=C(C=C5)CCC(=O)C=6C(O)=CC(O)=CC6OC7OC(CO)C(O)C(O)C7O,C42H42O21,882.7719228047358,[],"2-(2-{4-[3-(2,4-dihydroxy-6-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)-3-oxopropyl]phenoxy}-4,5-dihydroxyphenyl)-7-hydroxy-5-{[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-4H-chromen-4-one",-4.956500000000002,352.51000000000005,19.11771
355,CNP0258018,O=C1OC=2C=C(OC)C(=CC2C=C1)C(C=C(C)C)C3=C(OC)C=C4C(C(=O)C5=CC=C(O)C(OC)=C5N4C)=C3O,C31H29NO8,543.5650372889669,[],"1,6-dihydroxy-3,5-dimethoxy-2-[1-(7-methoxy-2-oxo-2H-chromen-6-yl)-3-methylbut-2-en-1-yl]-10-methyl-9,10-dihydroacridin-9-one",1.1204000000000018,114.76,19.084642
1,CNP0392246,O=C1OC=2C=C3C(=CC2C(=C1)C=4OC=5C=CC=CC5C4NC(=O)C=6C=CC=C(OC)C6)CCC3,C28H21NO5,451.4710887852884,[],"3-methoxy-N-(2-{2-oxo-2H,6H,7H,8H-cyclopenta[g]chromen-4-yl}-1-benzofuran-3-yl)benzamide",2.0713999999999992,73.86,18.9499
566,CNP0449541,O=C1OC(C)(CCCCC(=C)C)C2C(=O)CC3(C4=CCC5C(C)(C)C(OC6OCC(OS(=O)(=O)O)C(O)C6OC7OC(C)C(OC8OC(CO)C(O)C(OC9OC(CO)C(O)C(OC)C9O)C8O)C(O)C7OC%10OCC(O)C(O)C%10O)CCC5(C)C4CCC123)C,C60H94O29S,1311.4394125594538,[],,-1.3339000000000034,439.4100000000001,18.942312
141,CNP0437483,O=C(N1CC(N(C(=O)C2(OC2C3=CC=C(C=C3)N(O)O)C)CC1C)C)C4(OC4C5=CC=C(C=C5)N(O)O)C,C26H32N4O8,528.5552896876123,[],,-0.860800000000001,153.07999999999998,18.940935
571,CNP0241077,O=C(OC)C(O)COC=1C=CC(=CC1)C=2C(=O)NC(=O)C2CC(C)C,C18H21NO6,347.36313474497786,"[NA, 10.1002/cbdv.201200258]",Antrocinnamomin G,1.1399000000000026,101.93,18.923336
329,CNP0071950,O=C(OC1C(=CC(C)C(O)C(OC)CC(C)CC=2C(O)=C(NC(=O)C(=CC(O)CC1OC)C)C(=O)C(=O)C2OC)C)N,C29H42N2O11,594.6517132848704,"[NA, 10.1002/anie.201612447]",Geldanamycin D,0.4147999999999952,203.94,18.907806
394,CNP0172771,O=S(=O)(C=1C=CC=CC1)N2CC3N(CCN(CC=4C=CC=CC4O)C3)C(C)(C)C2,C22H29N3O3S,415.550880987138,[],"2-{[8-(benzenesulfonyl)-6,6-dimethyl-octahydro-1H-[1,4]diazino[1,2-a]pyrazin-2-yl]methyl}phenol",1.3044999999999989,72.47000000000001,18.835781
137,CNP0346540,O=C1C=2C(O)=CC=CC2C(C3=CC(=CC(O)=C13)CO)C4(O)OC(CO)C(O)C(O)C4,C21H22O9,418.39479476484,[],"1,8-dihydroxy-3-(hydroxymethyl)-10-[2,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-9,10-dihydroanthracen-9-one",-2.000100000000003,167.91,18.811901
